Dokumen,Topik 1,Topik 2,Topik 3,Topik 4,Topik 5,Topik 6,Label,Cluster
sistem informasi akademik siakad sistem informasi berfungsi menangani pengelolaan penyajian datadata akademik fakultas siakad dianggap pelayanan mahasiswa membutuhkan informasi akademik universitas trunojoyo tersedia siakad database terpusat sistem kelebihan perawatannya mudah membutuhkan biaya sistem berpotensi mengahadapi kendalakendala proses transaksi data padatnya jaringan database siakad kelambatan pemrosesan respon query data tersimpan pemrosesan kompleks memiliki kelemahan ketersediaan data sistem pengembangan sistem database sistem databases terdistribusi masingmasing fakultas dijadikan solusi permasalahan basisdata terdistribusi keuntungan dimiliki basisdata terpusat pengawasan distribusi reability availability kecepatan pemrosesan query otonomi local,0.0012110190071291653,0.0012107967192576876,0.0012108640033859494,0.0012108391002250455,0.9939455908658174,0.0012108903041847749,RPL,2
berjalannya koneksi jaringan komputer lancar gangguan harapan penggunanya bertanggung bidang administrator jaringan koneksi jaringan berjalan lancar gangguan kenyataan lapangan jaringan komputer skala berpotensi gangguan kerusakan koneksi jaringan komputer disebabkan banyaknya penggunaan padatnya traffic data jaringan komputer menjaga meningkatkan kualitas layanan koneksi jaringan akses kontrol monitoring level administrator jaringan realtime berbasis mobile mengatur informasi koneksi jaringan diakses administrator jaringan dituntut gangguan terputusnya koneksi jaringan administrator kontrol monitoring sistem kontrol monitoring berbasis mobile diharapkan membantu tugas administrator mengontrol memantau jaringan mengambil kebijakan node node terkoneksi jaringan memanajemen koneksi port bandwidth mobile pembenahan gangguan jaringan pemakai jaringan klien pengaduan gangguan kunci administrator jaringan koneksi jaringan akses kontrol monitoring,0.0009471200322367908,0.0009470844977646205,0.0009471558346709107,0.9952642199529301,0.0009472780440770713,0.000947141638320441,RPL,1
web server perangkat lunak server berfungsi menerima permintaan http https web client mengirimkan bentuk halamanhalaman web berbentuk dokumen html dokumen html dikirim dokumen dibentuk bahasa markup plaintext dokumen berisi kodekode html murni proses enkripsi tujuan penelitan aplikasi proxy server menerima permintaan http web client meneruskannya web server aplikasi menerima respon server proses enkripsi dokumen html dokumen html dikirim web client berbentuk dokumen html terenkripsi web client aplikasi internet explorer mozilla firefox opera aplikasiaplikasi dikenal sebutan web browser web browser menerima dokumen html terenkripsi aplikasi proxy server javascript engine web browser proses dekripsi rendering dokumen ditampilkan sesuai aslinya kode dokumen html menu view source web browser didapatkan dokumen html terenkripsi,0.21489114906123935,0.14969762150177401,0.0009125660429412036,0.0009125211125537857,0.632673628832471,0.0009125134490207218,RPL,2
penjadwalan kuliah perguruan kompleks permasalahan variabel dipertimbangkan jadwal optimal penyusunan jadwal kuliah selayaknya dicoba menemukan penjadwalan terbaik dibutuhkan metode optimasi diterapkan penjadwalan mata kuliah metode menyelesaikan permasalahan algoritma genetika tugas bertujuan sistem jadwal matakuliah otomatis hasilnya optimal hasil penelitian algoritma genetika jadwal optimal dibuktikan nilai fitness memiliki nilai otomatis jadwal dibentuk optimal semoga aplikasi diharapkan mempermudah didalam pembuatan penjadwalan matakuliah mudah cepat kunci algoritma genetika optimasi penjadwalan,0.0014794684846113674,0.0014794335213694737,0.9926026364192867,0.0014794257621725552,0.0014795415453794235,0.0014794942671805748,RPL,0
seiring perkembangan teknologi didunia muncul teknologi augmented reality augmented reality ar upaya menggabungkan dunia maya dunia virtual komputer batas tipis headmounted display hmd contoh hasil penelitian augmented reality satusatunya peralatan dasar teknologiteknologi terbaru seiring berjalannya augmented reality berkembang pesat pengembangan aplikasi bidang mengembangkan ar library pendukung flartoolkit salah satunya flartoolkit library pendukung augmented reality platform flash berdasarkan sistem ar animasi benda bergerak animasi bergerak permainan pingpong dimana dikolaborasikan augmented reality menggerakkan langkah playernya interaksi obyek gerak bola dipukul obyek virtual ditampilkan augmented reality,0.0011963095899764087,0.0011963773539596509,0.001196605087798397,0.001196372521381588,0.994018081386083,0.0011962540608008738,KOMPUTASI,2
gerak pekerja game memiliki genre rts realtime strategy gerak pekerja memiliki gerak dibutuhkan pendekatan konsep ai mendesain perilaku pekerja perilaku karakter ditambahi ai artifical intelegent perilakunya hidup realistis penelitian ai finite state machine finite state machine menentukan gerak pekerja parameterparameter dasar gerak disimulasikan game rts game engine hasil peroleh penelitian penerapan metode finite state machine menentukan gerak pekerja berdasarkan parameter harta prajurit kondisi bangunan stockpile resources bawa kunci game realtime strategy gerak pekerja finite state machine,0.0013057933276985182,0.9934710642160869,0.0013059352090469302,0.0013056650637196464,0.0013057962511763698,0.0013057459322715172,KOMPUTASI,1
perkembangan game pesat alternative peminatnya bentuk game cerita media penyajian keberadaan game menggambarkan budaya indonesia daerah kepulauan madura terhitung dirasa lunturnya kebudayaan indonesia anak bangsa peminat game sarana pengenalan budaya asli madura aplikasi game olahraga digemari pulau madura kerapan sapi dibangun aplikasi game kerapan sapi upaya pelestarian budaya bangsa pulau madura upaya pembuatan game budaya dibangun game perawatan sapi karapan metode logika fuzzy fuzzy logic menginputkan parameter kekuatan kesehatan sapi karapan menentukan harga jual sapi karapan game perawatan sapi karapan kunci game kerapan sapi perawatan sapi kerapan budaya madura,0.001116194592721498,0.5429947461676154,0.0011162948173187174,0.45254013788740016,0.0011163313227537932,0.0011162952121903718,KOMPUTASI,1
sistem pengenalan wajah sistem mengenali identitas wajah manusia teknologi mengidentifikasi tubuh manusia unik wajah manusia khusus bidang identifikasi pengenalan wajah manusia memanfaatkan pengolahan analisis citra wajah berperan proses pengenalan wajah manusia sistem manfaatkan sistem keamanan bidang biometrika penelitian bangun perangkat lunak pengenalan citra wajah manusia metode two dimensional linear discriminant analysis dlda menentukan karakteristik wajah manusia tahap pengklasifikasian metode angular separation mengukur kemiripan data pelatihan training data uji coba testing proses testing gambar wajah ketahui identitas uji coba aplikasi klasifikasi angular separation peroleh akurasi pengenalan pose citra wajah pelatihan pose citra wajah uji coba testing data ratus citra wajah manusia ambil database orl sepuluh eigen kunci sistem pengenalan wajah two dimensional linear discriminant analysis angular separation,0.9957113122885562,0.0008577267129103173,0.0008577432860770806,0.0008576947964100969,0.0008578088605069574,0.0008577140555392131,RPL,1
teknologi mobile game beroperating system open source berkembang pesat keragaman variasinya mobile game memiliki peminat kalangan dasar pengembang mengembangkan mobile game penelitian mobile game mengasah kemampuan berfikir dikembangkan mengimplementasikan algoritma prim depth first search pembuatannya algoritma prim diterapkan pembuatan lintasan maze algoritma depth first search diterapkan proses pencarian solusinya hasil pengujian disimpulkan algoritma prim depth first search berfungsi resolusi screen x pixels pembentukan lintasan pencarian solusi maze kunci mobile game android algoritma prim algoritma depth first search,0.001305805864735531,0.001305763303501434,0.9934711973741747,0.0013056510975505203,0.0013058461796650335,0.0013057361803726832,RPL,0
kantor badan kepegawaian kota bangkalan instansi pemerintahan bergerak bidang pelayanan kepegawaian meningkatkan kualitas pelayanan sistem informasi memonitoring membantu proses kinerja dinas penelitian dibahas menerapkan architecture enterprise bkd bangkalan menggunakkan metode togaf adm mengimplementa sikannya kedalam implementasi aplikasi enterprise dibentuk keterpaduan egovernment bangkalan togaf adm memiliki komponen utama arsitektur bisnis arsitektur data arsitektur teknologi arsitektur aplikasi intinya togaf architecture enterprise aspek penelitian dibahas perancangan sistem arsitektur sistem informasi bkd bangkalan subsistem egovernment bangkalan togaf adm tujuannya menghasilkan sistem aplikasi administrasi kantor badan kepegawaian daerah bangkalan blue print memperbaiki efisiensi kenyamanan aksesibilitas pelayanan publik kunci arsitektur interprise togaf adm arsitektur bisnis arsitektur data arsitektur aplikasi arsitektur teknologi,0.4014308104791912,0.0009470426246222753,0.0009471076108097334,0.0009470832154193027,0.5947808846084249,0.0009470714615325838,RPL,2
